,Prefecture_JP,Prefecture_EN,Prefecture_Code,Total_Population,Male_Population,Female_Population,Female_subs,Male_Subs,Total_subs,male_ratio,femal_ratio,total_ratio
0,北海道,Hokkaido,JP-01,5250000,2500000,2750000,65810,111800,177610,0.04472,0.02393090909090909,0.03383047619047619
1,青森県,Aomori,JP-02,1263000,610000,653000,10915,23650,34565,0.03877049180327869,0.016715160796324655,0.0273673792557403
2,岩手県,Iwate,JP-03,1225000,590000,635000,10980,23825,34805,0.04038135593220339,0.017291338582677167,0.028412244897959182
3,宮城県,Miyagi,JP-04,2321000,1120000,1201000,30120,52450,82570,0.046830357142857146,0.02507910074937552,0.03557518311072813
4,秋田県,Akita,JP-05,974000,470000,504000,9070,14960,24030,0.031829787234042554,0.017996031746031746,0.024671457905544147
5,山形県,Yamagata,JP-06,1103000,530000,573000,10720,21105,31825,0.039820754716981134,0.018708551483420592,0.02885312783318223
6,福島県,Fukushima,JP-07,1845000,900000,945000,10720,21105,31825,0.02345,0.011343915343915344,0.01724932249322493
7,茨城県,Ibaraki,JP-08,2884000,1420000,1464000,27805,59480,87285,0.04188732394366197,0.018992486338797816,0.030265256588072123
8,栃木県,Tochigi,JP-09,1946000,960000,986000,22520,42905,65425,0.04469270833333333,0.02283975659229209,0.03362024665981501
9,群馬県,Gunma,JP-10,1949000,950000,999000,23220,42460,65680,0.044694736842105266,0.023243243243243242,0.03369933299127758
10,埼玉県,Saitama,JP-11,7321000,3600000,3721000,81440,148290,229640,0.04119166666666667,0.021886589626444505,0.03136729954924191
11,千葉県,Chiba,JP-12,6249000,3050000,3199000,72630,111150,183780,0.036442622950819674,0.022703969990622068,0.029409505520883342
12,東京都,Tokyo,JP-13,13929000,6900000,7029000,228740,300505,529280,0.04355144927536232,0.03254232465500071,0.037998420561418625
13,神奈川県,Kanagawa,JP-14,9205000,4500000,4705000,115135,198300,313435,0.044066666666666664,0.024470775770456962,0.03405051602390005
14,新潟県,Niigata,JP-15,2232000,1100000,1132000,22335,40695,63035,0.03699545454545455,0.019730565371024734,0.028241487455197133
15,富山県,Toyama,JP-16,1064000,520000,544000,11690,23410,35100,0.04501923076923077,0.021488970588235293,0.032988721804511276
16,石川県,Ishikawa,JP-17,1154000,560000,594000,15060,27450,42510,0.04901785714285714,0.025353535353535354,0.0368370883882149
17,福井県,Fukui,JP-18,773000,380000,393000,8980,16605,25585,0.04369736842105263,0.022849872773536894,0.033098318240620955
18,山梨県,Yamanashi,JP-19,817000,400000,417000,8120,16145,24265,0.0403625,0.01947242206235012,0.02970012239902081
19,長野県,Nagano,JP-20,2067000,1010000,1057000,21740,40240,61980,0.03984158415841584,0.020567644276253547,0.029985486211901308
20,岐阜県,Gifu,JP-21,1993000,980000,1013000,22965,40470,63435,0.04129591836734694,0.022670286278381045,0.031828901154039135
21,静岡県,Shizuoka,JP-22,3690000,1820000,1870000,38870,78290,117160,0.04301648351648352,0.020786096256684494,0.031750677506775064
22,愛知県,Aichi,JP-23,7554000,3720000,3834000,109990,197030,307040,0.05296505376344086,0.028688054251434534,0.040646015356102724
23,三重県,Mie,JP-24,1805000,880000,925000,20735,36070,56805,0.040988636363636366,0.022416216216216218,0.031470914127423824
24,滋賀県,Shiga,JP-25,1414000,690000,724000,20735,36070,56805,0.05227536231884058,0.02863950276243094,0.040173267326732674
25,京都府,Kyoto,JP-26,2570000,1240000,1330000,41085,62875,103960,0.05070564516129032,0.03089097744360902,0.04045136186770428
26,大阪府,Osaka,JP-27,8815000,4310000,4505000,162945,209600,372545,0.04863109048723898,0.03616981132075472,0.042262620533182076
27,兵庫県,Hyogo,JP-28,5430000,2650000,2780000,73635,110950,184585,0.04186792452830189,0.026487410071942444,0.03399355432780847
28,奈良県,Nara,JP-29,1311000,640000,671000,18505,24920,43425,0.0389375,0.027578241430700447,0.033123569794050345
29,和歌山県,Wakayama,JP-30,944000,460000,484000,9050,16090,25590,0.034978260869565216,0.018698347107438017,0.027108050847457626
30,鳥取県,Tottori,JP-31,550000,270000,280000,5625,10735,16360,0.03975925925925926,0.020089285714285716,0.029745454545454547
31,島根県,Shimane,JP-32,666000,320000,346000,6525,12220,18745,0.0381875,0.018858381502890174,0.028145645645645645
32,岡山県,Okayama,JP-33,1876000,910000,966000,26945,42685,69630,0.04690659340659341,0.02789337474120083,0.03711620469083156
33,広島県,Hiroshima,JP-34,2786000,1350000,1436000,38065,65460,103525,0.04848888888888889,0.02650766016713092,0.03715900933237617
34,山口県,Yamaguchi,JP-35,1370000,660000,710000,13015,27410,40425,0.04153030303030303,0.018330985915492957,0.029507299270072992
35,徳島県,Tokushima,JP-36,710000,340000,370000,8490,13415,21905,0.039455882352941174,0.022945945945945945,0.030852112676056337
36,香川県,Kagawa,JP-37,950000,450000,500000,11630,22795,34425,0.05065555555555556,0.02326,0.03623684210526316
37,愛媛県,Ehime,JP-38,1367000,670000,697000,13985,26035,40020,0.03885820895522388,0.020064562410329986,0.029275786393562545
38,高知県,Kochi,JP-39,698000,330000,368000,6935,11295,17590,0.034227272727272724,0.018845108695652174,0.02520057306590258
39,福岡県,Fukuoka,JP-40,5053000,2450000,2603000,78015,125850,203865,0.05136734693877551,0.029971187091817134,0.04034533940233525
40,佐賀県,Saga,JP-41,809000,390000,419000,7765,14190,21955,0.03638461538461538,0.01853221957040573,0.027138442521631643
41,長崎県,Nagasaki,JP-42,1284000,620000,664000,12280,24160,36440,0.03896774193548387,0.018493975903614457,0.02838006230529595
42,熊本県,Kumamoto,JP-43,1724000,840000,884000,21150,33730,55560,0.0401547619047619,0.023925339366515835,0.03222737819025522
43,大分県,Oita,JP-44,1130000,550000,580000,11895,24395,36290,0.04435454545454545,0.02050862068965517,0.03211504424778761
44,宮崎県,Miyazaki,JP-45,1067000,510000,557000,11150,21210,32360,0.04158823529411765,0.020017953321364454,0.030328022492970945
45,鹿児島県,Kagoshima,JP-46,1591000,760000,831000,11150,21210,32360,0.027907894736842104,0.01341756919374248,0.02033940917661848
46,沖縄県,Okinawa,JP-47,1457000,710000,747000,17745,28115,45860,0.03959859154929578,0.023755020080321286,0.03147563486616335
